#LAMOST resolution curve power R=lambda/FWHM
#The curve abruptly change at lambda = 5850AA
#--------------------------------------------
#     wave          R
#--------------------------------------------  
      4358.44      1316.68
      4359.45      1317.34
      4360.45      1318.00
      4361.45      1318.66
      4362.46      1319.32
      4363.46      1319.98
      4364.47      1320.64
      4365.47      1321.30
      4366.48      1321.96
      4367.48      1322.62
      4368.49      1323.28
      4369.50      1323.94
      4370.50      1324.60
      4371.51      1325.26
      4372.52      1325.92
      4373.52      1326.58
      4374.53      1327.24
      4375.54      1327.90
      4376.54      1328.56
      4377.55      1329.22
      4378.56      1329.88
      4379.57      1330.54
      4380.58      1331.20
      4381.59      1331.86
      4382.59      1332.51
      4383.60      1333.17
      4384.61      1333.83
      4385.62      1334.49
      4386.63      1335.15
      4387.65      1335.81
      4388.65      1336.47
      4389.66      1337.13
      4390.68      1337.79
      4391.69      1338.45
      4392.70      1339.10
      4393.71      1339.76
      4394.72      1340.42
      4395.73      1341.08
      4396.74      1341.74
      4397.76      1342.40
      4398.77      1343.06
      4399.78      1343.72
      4400.80      1344.37
      4401.81      1345.03
      4402.82      1345.69
      4403.84      1346.35
      4404.85      1347.01
      4405.87      1347.66
      4406.88      1348.32
      4407.90      1348.98
      4408.91      1349.64
      4409.93      1350.30
      4410.94      1350.95
      4411.96      1351.61
      4412.97      1352.27
      4413.99      1352.93
      4415.01      1353.58
      4416.02      1354.24
      4417.04      1354.90
      4418.06      1355.56
      4419.08      1356.21
      4420.09      1356.87
      4421.11      1357.53
      4422.13      1358.19
      4423.15      1358.84
      4424.17      1359.50
      4425.18      1360.16
      4426.20      1360.81
      4427.22      1361.47
      4428.24      1362.13
      4429.26      1362.78
      4430.28      1363.44
      4431.30      1364.09
      4432.32      1364.75
      4433.34      1365.41
      4434.36      1366.06
      4435.39      1366.72
      4436.41      1367.37
      4437.43      1368.03
      4438.45      1368.69
      4439.47      1369.34
      4440.50      1370.00
      4441.52      1370.65
      4442.54      1371.31
      4443.56      1371.96
      4444.59      1372.62
      4445.61      1373.27
      4446.63      1373.93
      4447.66      1374.58
      4448.68      1375.24
      4449.71      1375.89
      4450.73      1376.55
      4451.76      1377.20
      4452.78      1377.85
      4453.81      1378.51
      4454.83      1379.16
      4455.86      1379.82
      4456.88      1380.47
      4457.91      1381.12
      4458.94      1381.78
      4459.96      1382.43
      4460.99      1383.08
      4462.02      1383.74
      4463.04      1384.39
      4464.07      1385.04
      4465.10      1385.69
      4466.13      1386.35
      4467.16      1387.00
      4468.19      1387.65
      4469.22      1388.30
      4470.24      1388.95
      4471.27      1389.61
      4472.30      1390.26
      4473.33      1390.91
      4474.36      1391.56
      4475.40      1392.21
      4476.43      1392.86
      4477.46      1393.51
      4478.49      1394.17
      4479.52      1394.82
      4480.55      1395.47
      4481.58      1396.12
      4482.62      1396.77
      4483.65      1397.42
      4484.68      1398.07
      4485.71      1398.72
      4486.74      1399.37
      4487.78      1400.02
      4488.81      1400.67
      4489.85      1401.32
      4490.88      1401.97
      4491.91      1402.61
      4492.95      1403.26
      4493.98      1403.91
      4495.02      1404.56
      4496.05      1405.21
      4497.09      1405.86
      4498.12      1406.50
      4499.16      1407.15
      4500.20      1407.80
      4501.23      1408.45
      4502.27      1409.10
      4503.30      1409.74
      4504.34      1410.39
      4505.38      1411.04
      4506.42      1411.68
      4507.45      1412.33
      4508.49      1412.97
      4509.53      1413.62
      4510.57      1414.27
      4511.61      1414.91
      4512.65      1415.56
      4513.69      1416.20
      4514.73      1416.85
      4515.76      1417.49
      4516.81      1418.14
      4517.84      1418.78
      4518.89      1419.43
      4519.93      1420.07
      4520.97      1420.71
      4522.01      1421.36
      4523.05      1422.00
      4524.09      1422.65
      4525.13      1423.29
      4526.18      1423.93
      4527.22      1424.58
      4528.26      1425.22
      4529.30      1425.86
      4530.34      1426.50
      4531.39      1427.14
      4532.43      1427.79
      4533.48      1428.43
      4534.52      1429.07
      4535.57      1429.71
      4536.61      1430.35
      4537.65      1430.99
      4538.70      1431.63
      4539.74      1432.27
      4540.79      1432.91
      4541.83      1433.55
      4542.88      1434.19
      4543.93      1434.83
      4544.97      1435.47
      4546.02      1436.11
      4547.07      1436.75
      4548.11      1437.39
      4549.16      1438.02
      4550.21      1438.66
      4551.26      1439.30
